date,cnt
3/29/2020,330
1/12/2018,134
2/16/2022,632
1/28/2011,111
8/21/2022,776
2/1/2021,349
3/10/2021,362
8/17/2020,316
4/5/2015,98
4/8/2015,91
5/7/2020,314
8/14/2017,122
8/4/2011,129
7/8/2009,144
12/17/2011,106
2/3/2013,128
5/30/2014,112
7/5/2011,123
11/26/2013,114
4/1/2021,334
7/11/2011,131
3/9/2015,138
12/8/2013,96
9/3/2020,260
6/13/2011,167
3/3/2018,138
7/10/2020,278
4/2/2009,136
11/14/2012,107
7/29/2020,278
6/16/2018,130
4/16/2012,136
6/7/2010,106
4/15/2022,718
4/22/2017,127
8/14/2020,316
5/3/2018,126
7/22/2021,319
8/13/2022,746
9/27/2017,121
9/21/2019,178
4/12/2021,339
4/25/2020,349
11/4/2017,135
11/8/2017,155
4/6/2022,600
10/24/2022,1458
12/27/2018,166
9/18/2019,166
10/14/2020,297
5/13/2020,305
3/26/2007,12
9/2/2021,454
1/7/2012,130
6/13/2022,734
11/26/2018,180
2/17/2010,96
10/31/2015,92
7/7/2010,125
1/29/2015,89
5/24/2014,114
11/7/2018,159
5/9/2021,337
2/27/2018,124
6/14/2022,636
5/15/2020,252
4/18/2017,96
3/13/2019,204
4/15/2009,160
2/25/2011,115
2/5/2014,113
7/25/2016,138
9/3/2018,110
9/27/2021,438
2/28/2022,613
3/13/2016,127
6/8/2022,639
2/16/2016,85
2/12/2017,127
4/7/2009,104
1/22/2011,121
11/4/2019,204
5/2/2011,183
12/9/2011,168
9/25/2012,130
7/25/2017,155
1/20/2010,88
1/26/2018,122
7/23/2010,102
4/26/2018,123
4/7/2022,575
7/30/2019,198
6/15/2011,132
12/4/2017,143
3/8/2020,278
9/29/2019,196
4/20/2012,140
7/19/2012,120
7/1/2011,136
9/10/2022,971
1/14/2012,146
4/8/2011,143
1/1/2019,187
9/26/2010,81
12/23/2012,96
2/1/2014,113
8/6/2019,225
6/26/2020,256
10/1/2020,290
12/28/2019,198
10/3/2022,1327
3/3/2019,171
11/3/2018,162
12/1/2016,123
11/16/2021,456
6/19/2022,560
10/23/2021,464
8/15/2021,364
3/6/2009,98
12/18/2016,118
2/4/2019,153
8/13/2009,98
3/3/2012,165
6/7/2021,354
1/18/2010,107
10/9/2019,210
2/12/2022,592
1/27/2009,54
10/14/2015,125
12/5/2018,192
6/3/2013,130
5/26/2010,115
5/16/2016,115
10/29/2012,98
3/19/2020,291
12/26/2010,69
2/2/2020,213
9/11/2017,122
1/20/2019,182
8/10/2011,136
12/29/2014,291
7/24/2018,185
9/21/2020,322
10/27/2014,104
11/3/2020,265
10/25/2016,119
3/11/2014,100
10/7/2019,187
5/15/2019,175
2/14/2009,52
12/8/2021,442
9/25/2016,123
4/20/2022,699
11/22/2010,85
9/18/2021,384
10/10/2017,139
6/19/2018,169
11/29/2013,73
6/21/2009,155
12/12/2020,297
2/17/2011,123
5/31/2019,171
12/11/2010,94
1/19/2011,83
7/12/2009,107
7/31/2016,160
3/24/2015,102
6/3/2018,137
3/14/2021,376
8/29/2020,276
5/28/2020,318
1/27/2019,166
1/24/2022,527
2/4/2018,134
6/17/2015,87
12/8/2015,99
6/24/2019,192
5/18/2022,618
7/13/2021,375
11/5/2018,156
4/18/2014,109
1/15/2021,340
1/4/2022,536
3/22/2009,111
4/22/2010,129
9/27/2013,127
1/10/2018,132
9/29/2011,112
10/28/2013,99
9/26/2022,1782
9/5/2017,144
10/15/2019,197
8/16/2014,108
8/17/2018,151
5/29/2011,122
8/1/2016,138
2/20/2022,465
4/28/2011,109
12/24/2020,283
10/14/2017,130
1/27/2021,352
7/3/2016,118
10/22/2013,96
7/24/2009,114
4/11/2020,315
9/5/2021,394
3/23/2013,120
9/6/2020,275
7/21/2018,130
4/24/2020,311
8/1/2014,97
1/6/2021,378
1/4/2011,106
9/11/2015,84
9/26/2011,116
3/6/2022,535
2/2/2021,383
11/3/2017,152
5/13/2021,367
12/13/2015,124
10/2/2016,132
12/11/2017,146
6/8/2018,126
6/22/2022,618
8/25/2020,287
12/4/2021,479
5/23/2015,100
9/7/2015,98
11/11/2020,294
12/16/2009,105
